"Title","Description","en", "de-AT", "fr"
"welcome",,"Hooray, you're here! The day just got better - enjoy the following tips!", "Hurra, du bist hier! Der Tag ist gerettet - nutze die folgenden Tipps!", "Hurrah, tu es là. Ça fait une bonne journée - profite des renseignements suivants !"
"text_segment",,"A section of text like this is known as a text segment. Start rockin' your translations now!", "Eine Textpassage wie diese bezeichnen wir als Textsegment. Starte jetzt mit deinen Übersetzungen durch!", "Un tel extrait est qualifié de segment du texte chez nous. C’est parti – commence tes traductions tout de suite/maintenant !"
"tab_shortcut",,"Arriba, Arriba! Andale, Andale! Be fast as Speedy Gonzales. Just hit TAB to save and go to the next text segment, once you're done.", "Arriba, Arriba! Andale, Andale! Sei schneller als Speedy Gonzales. Springe mit TAB ins nächste Textsegment, sobald du fertig bist. Deine Änderungen werden automatisch gespeichert.", "Arriba, Arriba ! Andale, Andale ! Prends Speedy Gonzales de vitesse. Appuie sur TAB pour sauvegarder et continuer avec le segment prochain dès que tu as fini."
"statuses",,"Houston, we have no problem. Keep track of the progress of your translations by statuses at any time.", "", ""
"status_shortcut",,"Keep your fingers off the mouse. Master your keyboard: Change the status by using one of the shortcut keys: e.g. CTRL+K = Translated.
You can see other shortcuts at the bottom of the editor!", "", ""
"placeholder_lingochecks",,"We just like to see you happy, that's why LingoChecks automatically check translations for predetermined criteria.
Among other checks LingoHub verifies if {placeholders} used in the original text are also present in translated texts.", "Bazinga!", "Bazinga !"
"side_panel",,"Time flies when searching for context information. In the side panel you can add more info that helps translating this text segment.", "", ""
"comments","This is an awesome description.","Dear developers, you are the masters of translation files. Add comments in a file (depends on file format) to provide translators with more information. They are imported as a description, visible in the side panel.", "", ""
"love","lh-check { max: 15, min: 10 }","Made with ❤", "❤", "❤"
